Date,Total Cumulative Funds,Total Cumulative Firms,Total Cumulative Capital ($B),Existing Funds,Firms That Raised Funds in the last 8 Vintage Years,Capital Managed ($B),Avg Fund Size ($M),Avg Firm Size ($M),Firms Actively Investing
1985-12-31,631.0,323.0,20.0,532.0,294.0,17.6,33.1,59.9,92.0
1986-12-31,707.0,353.0,23.4,590.0,324.0,20.7,35.1,63.9,113.0
1987-12-31,810.0,388.0,27.4,670.0,353.0,23.7,35.4,67.1,112.0
1988-12-31,887.0,406.0,30.8,700.0,365.0,24.8,35.4,67.9,118.0
1989-12-31,979.0,435.0,35.8,727.0,380.0,27.7,38.1,72.9,115.0
1990-12-31,1037.0,451.0,38.3,716.0,383.0,28.3,39.5,73.9,100.0
1991-12-31,1075.0,458.0,40.5,639.0,360.0,26.9,42.1,74.7,80.0
1992-12-31,1147.0,478.0,44.1,601.0,352.0,27.3,45.4,77.6,104.0
1993-12-31,1244.0,509.0,49.4,613.0,370.0,29.4,48.0,79.5,93.0
1994-12-31,1342.0,542.0,56.7,635.0,385.0,33.3,52.4,86.5,110.0
1995-12-31,1497.0,607.0,66.2,687.0,424.0,38.9,56.6,91.7,185.0
1996-12-31,1647.0,668.0,78.6,760.0,469.0,47.8,62.9,101.9,249.0
1997-12-31,1859.0,760.0,97.9,880.0,541.0,62.1,70.6,114.8,342.0
1998-12-31,2096.0,839.0,129.2,1059.0,613.0,90.9,85.8,148.3,408.0
1999-12-31,2433.0,966.0,184.1,1358.0,733.0,143.6,105.7,195.9,713.0
2000-12-31,2849.0,1109.0,268.2,1702.0,864.0,224.0,131.6,259.3,1053.0
2001-12-31,3092.0,1191.0,310.4,1848.0,920.0,261.0,141.2,283.7,759.0
2002-12-31,3174.0,1208.0,318.0,1832.0,918.0,261.2,142.6,284.5,534.0
2003-12-31,3282.0,1260.0,330.0,1785.0,948.0,263.8,147.8,278.3,505.0
2004-12-31,3447.0,1328.0,349.4,1800.0,984.0,270.8,150.4,275.2,575.0
2005-12-31,3622.0,1398.0,376.2,1763.0,1009.0,278.2,157.8,275.7,558.0
2006-12-31,3805.0,1474.0,417.9,1709.0,1019.0,288.7,168.9,283.3,570.0
2007-12-31,4019.0,1558.0,447.9,1586.0,1010.0,263.8,166.3,261.2,627.0
2008-12-31,4205.0,1621.0,474.8,1356.0,879.0,206.6,152.4,235.0,603.0
2009-12-31,4313.0,1664.0,490.7,1221.0,818.0,180.4,147.7,220.5,462.0
2010-12-31,4439.0,1725.0,506.7,1265.0,844.0,188.7,149.2,223.6,509.0
2011-12-31,4599.0,1787.0,531.5,1317.0,868.0,201.5,153.0,232.1,545.0
2012-12-31,4716.0,1828.0,548.6,1269.0,841.0,199.2,157.0,236.9,522.0
2013-12-31,4957.0,1938.0,569.2,1331.0,874.0,192.9,144.9,220.7,
2014-12-31,5062.0,2054.0,599.1,1206.0,803.0,156.5,129.8,194.9,
