Date,Greater than 1B,500M - 1B,100M - 500M,Less Than 100M
1995-12-31,,1.0,10.0,47.0
1996-12-31,1.0,2.0,17.0,57.0
1997-12-31,,1.0,22.0,78.0
1998-12-31,,,27.0,86.0
1999-12-31,2.0,12.0,57.0,84.0
2000-12-31,15.0,23.0,101.0,106.0
2001-12-31,3.0,4.0,43.0,125.0
2002-12-31,1.0,3.0,28.0,134.0
2003-12-31,,2.0,29.0,104.0
2004-12-31,4.0,6.0,46.0,143.0
2005-12-31,1.0,3.0,58.0,139.0
2006-12-31,2.0,3.0,62.0,140.0
2007-12-31,1.0,14.0,74.0,112.0
2008-12-31,1.0,3.0,42.0,88.0
2009-12-31,,7.0,34.0,68.0
2010-12-31,,11.0,49.0,91.0
2011-12-31,1.0,12.0,64.0,93.0
2012-12-31,5.0,10.0,53.0,64.0
2013-12-31,3.0,7.0,47.0,38.0
2014-12-31,6.0,11.0,50.0,70.0
