Date,Number of Companies,USD Millions
1995-12-31,435.0,1945.9
1996-12-31,762.0,4131.5
1997-12-31,1027.0,6356.1
1998-12-31,1492.0,11878.8
1999-12-31,3068.0,42527.7
2000-12-31,4617.0,80790.6
2001-12-31,2393.0,26591.0
2002-12-31,1477.0,11435.9
2003-12-31,1257.0,9341.1
2004-12-31,1279.0,10570.6
2005-12-31,1367.0,10912.5
2006-12-31,1675.0,12949.3
2007-12-31,1797.0,14950.1
2008-12-31,1866.0,13704.2
2009-12-31,1453.0,9295.4
2010-12-31,1714.0,10807.9
2011-12-31,2135.0,15769.0
2012-12-31,2199.0,15821.8
2013-12-31,2352.0,19165.7
2014-12-31,2437.0,33025.0
