Date,$10B or Greater,Greater than 1B,500M - 1B,100M - 500M,Less Than 100M
1995-12-31,,2.0,4.0,59.0,62.0
1996-12-31,,5.0,11.0,110.0,89.0
1997-12-31,,1.0,4.0,58.0,66.0
1998-12-31,,6.0,3.0,50.0,17.0
1999-12-31,1.0,28.0,46.0,181.0,22.0
2000-12-31,,27.0,37.0,138.0,18.0
2001-12-31,,5.0,7.0,18.0,6.0
2002-12-31,,,7.0,15.0,2.0
2003-12-31,,,2.0,22.0,2.0
2004-12-31,1.0,4.0,10.0,64.0,4.0
2005-12-31,1.0,4.0,7.0,35.0,13.0
2006-12-31,1.0,7.0,11.0,44.0,4.0
2007-12-31,1.0,15.0,16.0,57.0,3.0
2008-12-31,,2.0,,4.0,1.0
2009-12-31,,3.0,4.0,6.0,
2010-12-31,2.0,21.0,6.0,41.0,2.0
2011-12-31,2.0,17.0,13.0,19.0,2.0
2012-12-31,2.0,9.0,9.0,29.0,2.0
2013-12-31,1.0,13.0,12.0,50.0,5.0
2014-12-31,1.0,17.0,16.0,76.0,5.0
