city,state_fb,pct_foreign_born
hialeah,florida,73.4%
miami,florida,58.4%
santa_ana,california,49.2%
fremont,california,43.1%
los_angeles,california,39.4%
jose,california,38.6%
anaheim,california,38.4%
new_jersey,new_jersey,38.2%
new_york,new_york,36.8%
san_francisco,california,35.6%
irvine,california,34.8%
irving,texas,33.1%
chula_vista,california,31.4%
laredo,texas,29.5%
houston,texas,28.4%
honolulu,hawaii,28.3%
oakland,california,27.5%
boston,massachusetts,27.1%
garland,texas,27.0%
long,california,26.8%
newark,new_jersey,26.6%
stockton,california,26.5%
san_diego,california,25.8%
paso,texas,25.5%
dallas,texas,24.6%
riverside,california,24.0%
bernardino,california,23.8%
las_vegas,nevada,23.0%
plano,texas,22.8%
sacramento,california,22.3%
las_vegas,nevada,21.8%
phoenix,arizona,21.5%
fresno,california,21.3%
chicago,illinois,21.0%
aurora,colorado,20.4%
arlington,texas,19.9%
austin,texas,19.3%
bakersfield,california,18.8%
orlando,florida,18.8%
fort_worth,texas,17.5%
seattle,washington,17.5%
paul,minnesota,17.5%
reno,nevada,17.1%
denver,colorado,16.4%
glendale,arizona,16.1%
tucson,arizona,15.8%
minneapolis,minnesota,14.9%
tampa,florida,14.9%
charlotte,north_carolina,14.7%
durham,north_carolina,14.6%
raleigh,north_carolina,14.2%
antonio,texas,13.7%
portland,oregon,13.7%
mesa,arizona,13.4%
chandler,arizona,13.4%
washington,dc,13.3%
nashville-davidson,tennessee,11.9%
oklahoma,oklahoma,11.9%
henderson,nevada,11.7%
philadelphia,pennsylvania,11.6%
winston-salem,north_carolina,11.0%
albuquerque,mexico,10.7%
madison,wisconsin,10.7%
scottsdale,arizona,10.7%
columbus,ohio,10.3%
petersburg,florida,10.2%
greensboro,north_carolina,10.0%
milwaukee,wisconsin,9.9%
tulsa,oklahoma,9.6%
wichita,kansas,9.5%
jacksonville,florida,9.3%
gilbert,arizona,9.3%
omaha,nebraska,9.2%
anchorage,alaska,9.1%
virginia,virginia,8.7%
lexington-fayette,kentucky,8.5%
indianapolis,indiana,8.3%
colorado,colorado,7.9%
kansas,missouri,7.7%
atlanta,georgia,7.6%
corpus,texas,7.6%
boise,idaho,7.5%
lincoln,nebraska,7.4%
buffalo,new_york,7.4%
baltimore,maryland,7.2%
pittsburgh,pennsylvania,7.1%
louis,missouri,6.9%
norfolk,virginia,6.8%
wayne,indiana,6.6%
memphis,tennessee,6.2%
louisville/jefferson,kentucky,6.1%
lubbock,texas,5.9%
new_orleans,louisiana,5.8%
baton_rouge,louisiana,5.4%
detroit,michigan,5.1%
cincinnati,ohio,4.9%
cleveland,ohio,4.7%
chesapeake,virginia,4.6%
toledo,ohio,3.4%
birmingham,alabama,3.4%
