Date,Less Than TVI,1x-4x TVI,4x-10x TVI,More than 10x TVI
1995-12-31,14.0,26.0,22.0,38.0
1996-12-31,6.0,27.0,29.0,34.0
1997-12-31,10.0,40.0,14.0,33.0
1998-12-31,15.0,21.0,30.0,31.0
1999-12-31,14.0,15.0,25.0,43.0
2000-12-31,8.0,23.0,22.0,46.0
2001-12-31,39.0,18.0,22.0,17.0
2002-12-31,46.0,25.0,12.0,10.0
2003-12-31,44.0,37.0,11.0,6.0
2004-12-31,35.0,33.0,20.0,11.0
2005-12-31,28.0,35.0,19.0,14.0
2006-12-31,28.0,35.0,18.0,16.0
2007-12-31,21.0,29.0,23.0,22.0
2008-12-31,26.0,27.0,23.0,16.0
2009-12-31,42.0,20.0,24.0,9.0
2010-12-31,28.0,30.0,21.0,15.0
2011-12-31,15.0,27.0,32.0,24.0
2012-12-31,17.0,23.0,28.0,27.0
2013-12-31,18.0,35.0,28.0,18.0
2014-12-31,18.0,29.0,28.0,19.0
