Date,AK/HI/PR,Colorado,DC/Metroplex,LA/Orange County,Midwest,New England,North Central,Northwest,NY Metro,Philadelphia Metro,Sacramento/N.Cal,San Diego,Silicon Valley,South Central,Southeast,SouthWest,Texas,Unknown,Upstate NY,Total
1985-12-31,758.8,435.4,221.2,196.5,157.5,99.6,142.2,249.0,166.4,99.1,77.0,40.1,52.6,37.0,13.7,14.2,,16.0,,2776.4
1986-12-31,1016.3,436.6,211.0,186.9,139.9,95.4,142.9,228.4,234.2,61.1,113.8,82.5,63.3,44.5,11.4,10.7,,45.5,,3124.5
1987-12-31,849.9,525.1,273.9,276.9,198.4,107.8,153.3,211.0,271.0,111.8,111.4,57.5,79.2,73.6,19.8,10.2,0.5,32.0,,3363.6
1988-12-31,985.9,496.9,308.0,222.5,132.3,149.8,141.2,240.7,266.5,129.9,107.8,59.7,71.8,41.6,11.7,5.3,0.8,33.6,,3406.0
1989-12-31,916.5,404.7,360.4,242.1,183.2,145.5,118.0,228.3,224.4,139.5,157.8,50.7,65.3,51.2,14.5,7.3,6.1,4.2,,3319.6
1990-12-31,914.1,425.0,190.1,174.7,155.9,113.3,88.2,141.0,145.9,96.9,93.7,30.3,105.9,92.2,11.6,11.1,13.0,19.5,,2822.4
1991-12-31,780.5,287.0,181.5,119.4,181.4,115.7,59.9,161.4,109.4,51.3,54.2,49.0,34.7,44.9,4.2,3.4,0.2,15.7,0.3,2254.0
1992-12-31,1119.5,417.0,239.0,179.4,165.2,111.2,252.1,149.6,346.6,65.8,129.7,98.4,168.9,89.1,6.5,9.1,30.8,8.5,0.0,3586.3
1993-12-31,903.2,358.4,222.3,176.4,276.9,133.0,118.4,240.7,405.8,384.1,135.0,49.7,108.3,109.6,8.6,5.7,0.8,19.1,1.0,3656.8
1994-12-31,1074.4,440.4,283.3,198.4,432.6,220.5,165.7,311.8,362.3,137.8,197.4,38.0,137.6,87.4,15.2,0.7,0.1,20.0,22.0,4157.6
1995-12-31,7.76,325.0535,415.168,1004.098,470.4157,796.5875,223.791,379.719,509.7186,220.8566,19.9849,276.7867,1807.8357,45.2221,885.3897,113.056,479.2284,0.32,35.532,8016.5234
1996-12-31,28.703,321.2238,585.4604,614.0571,736.1767,1164.1351,224.7025,555.9807,761.9862,365.6878,28.614,485.2099,3365.9802,71.6251,1178.09,184.5652,588.3774,2.1728,22.6751,11285.423
1997-12-31,13.996,405.0407,500.8025,861.1247,913.4786,1620.5153,341.614,564.3647,1295.0842,534.2201,21.3749,515.9846,4627.3392,67.4249,1436.6686,303.0644,954.7795,4.3798,90.2979,15071.5546
1998-12-31,5.465,841.9264,1148.7186,1223.0822,1646.5346,2375.012,437.3486,820.322,1849.1183,666.4505,86.793,662.8694,5865.7939,196.703,1828.0264,413.4148,1244.4744,54.057,195.4213,21561.5314
1999-12-31,17.355,1832.9392,2395.1369,3593.7029,2631.1107,5677.1443,769.9582,2874.5666,4647.321,1732.5623,119.1134,1426.9565,17768.3948,360.0589,4830.9794,843.1151,3173.341,2.401,212.4402,54908.5974
2000-12-31,248.615,4096.0554,5795.2238,6773.6884,5725.7097,12115.659,1397.3056,3606.3909,10188.5697,2487.5156,372.2815,2317.6411,33417.0331,446.9408,7971.067,1438.0125,6255.7712,50.423,293.9445,104997.8478
2001-12-31,69.811,1245.4955,2103.0551,2247.6841,2184.5316,5404.2117,669.5603,1342.2132,3497.5642,1086.6071,203.0189,1591.2243,12668.6796,110.4143,2685.6834,515.1487,3140.2902,14.309,159.099,40938.6012
2002-12-31,4.895,598.6513,1096.5876,1278.7661,976.9477,3016.0408,433.7042,770.3777,1543.3402,607.8367,65.36,1002.3952,7259.8905,69.3361,1778.8498,393.8374,1195.6414,,110.095,22202.5527
2003-12-31,17.929,613.8897,791.9454,1069.1609,913.9134,3103.4669,268.7262,659.9567,1386.5956,530.5893,32.1768,831.9475,6728.734,49.942,1111.0391,218.062,1222.9554,,131.1307,19682.1606
2004-12-31,15.14,363.1904,1086.6005,921.4676,701.3615,3417.2589,464.4816,1014.2193,1634.5576,763.9978,38.4439,1207.8807,7983.0123,130.1232,1403.7312,386.8105,1215.106,,104.808,22852.191
2005-12-31,43.3138,617.5498,1238.7688,1498.169,919.3401,2981.3991,367.3058,1016.7496,1640.6598,593.9201,37.731,1225.7336,8145.6808,96.0911,1077.5412,507.0252,1178.3279,,60.061,23245.3677
2006-12-31,47.0671,705.1962,1355.2755,1909.867,998.7576,3436.0573,391.6953,1307.4771,2325.0299,837.6568,31.4761,1247.0778,9754.7856,57.3161,1261.3079,520.553,1523.6981,,156.1255,27866.4199
2007-12-31,20.949,686.2893,1409.5228,1952.5284,1202.0711,4145.2189,528.3085,1638.1334,1927.5797,891.8927,76.6768,1873.8848,11531.6311,106.2852,1859.2313,609.8869,1509.5028,0.0,136.532,32106.1247
2008-12-31,21.3,891.6389,1168.3329,2115.1816,1346.1789,3851.1518,626.1336,1073.5689,2207.6024,798.9238,69.2989,1184.5716,11546.3952,91.2911,1315.8866,572.8402,1463.0469,,92.255,30435.5983
2009-12-31,7.364,463.1882,684.6836,1052.3627,956.6073,2584.1484,427.6506,659.9993,1776.7474,409.5823,18.814,954.8455,8283.458,16.7932,1034.3715,298.1558,679.7224,0.525,26.888,20335.9072
2010-12-31,9.2445,464.3626,1001.7086,1673.8336,1405.7695,2613.7148,320.7197,756.7873,1897.9238,499.1991,26.9361,847.9308,9394.6084,66.8761,1092.2088,286.746,1121.5783,0.0,44.769,23524.917
2011-12-31,0.6,660.8914,1019.6791,2049.1118,1521.4417,3313.7769,365.986,716.573,2903.4768,454.3168,87.8309,927.9586,12246.5003,60.7911,1240.2814,590.9717,1630.6139,0.0,112.7148,29903.5162
2012-12-31,0.745,627.5073,753.2741,2141.6452,1429.4591,3557.431,348.3359,1010.1048,2333.2651,414.6882,20.0191,1183.3346,11231.2552,92.8239,847.8938,597.9853,1025.538,0.2,47.4381,27662.9437
2013-12-31,0.703,472.5011,1575.7397,1845.7072,1064.9392,3291.2353,380.2762,1048.9624,3214.2762,429.8312,41.731,721.7301,12771.9096,132.3182,1377.2022,476.0802,1324.747,,116.0433,30285.9331
2014-12-31,0.35,817.4247,1092.0715,2957.7043,2159.1117,4981.0006,505.7355,1535.2283,5276.244,488.1716,128.8091,833.7753,25428.5013,132.3413,1916.5536,1113.8475,1426.8112,2.6,39.372,50835.6535
2015-12-31,,782.6226,1414.5681,5105.6551,2248.8736,6052.8153,598.8985,1501.7909,7317.2475,609.8984,43.2158,1166.5687,27347.8317,106.4328,2258.9383,919.0467,1170.7884,6.32,159.6759,58811.1883
